"Page","Guard","Includes","PhpRefs"
"pages/admin-users-students.php","","/admin-users.php","admin-users-students.php | /admin-users.php"
"pages/admin-users-teachers.php","","/admin-users.php","admin-users-teachers.php | /admin-users.php"
"pages/admin-users.php","require_role('admin')","../layouts/session.php | /../includes/class_record_builds.php | /../includes/usage_limits.php | /../includes/ai_credits.php | /../includes/reference.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","admin-users.php"
"pages/apps-calendar.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/apps-chat.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/apps-email-inbox.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/apps-email-read.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/apps-file-manager.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/apps-kanban.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/apps-tasks-details.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/apps-tasks.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/auth-confirm-mail-2.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/footer-scripts.php","index.php"
"pages/auth-confirm-mail.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/background.php | ../layouts/footer-scripts.php","index.php"
"pages/auth-force-password.php","","/../layouts/session.php | /../includes/audit.php | /../layouts/main.php | /../layouts/title-meta.php | /../layouts/head-css.php | /../layouts/background.php | /../layouts/footer-scripts.php","admin-dashboard.php | teacher-dashboard.php | student-dashboard.php | index.php | auth-force-password.php | auth-logout.php"
"pages/auth-lock-screen-2.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/footer-scripts.php","index.php | auth-login-2.php"
"pages/auth-lock-screen.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/background.php | ../layouts/footer-scripts.php","index.php | auth-login.php"
"pages/auth-login-2.php","","../layouts/session.php | /../includes/login_click_bypass.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/footer-scripts.php","index.php | auth-login.php | auth-recoverpw-2.php | auth-register-2.php | includes/login_click_bypass_action.php"
"pages/auth-logout-2.php","","../layouts/session.php","auth-logout.php"
"pages/auth-recoverpw-2.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/footer-scripts.php","index.php | auth-login-2.php"
