"path","guards","has_session","lines"
"C:\laragon\www\doc-ease\legacy_codebase\pages\class-record-print.php","teacher|admin","True","3072"
"C:\laragon\www\doc-ease\legacy_codebase\pages\contact-us.php","-","True","230"
"C:\laragon\www\doc-ease\legacy_codebase\pages\dashboard-analytics.php","-","True","520"
"C:\laragon\www\doc-ease\legacy_codebase\pages\egg.php","-","False","535"
"C:\laragon\www\doc-ease\legacy_codebase\pages\error-404.php","-","True","50"
"C:\laragon\www\doc-ease\legacy_codebase\pages\error-404-alt.php","-","True","61"
"C:\laragon\www\doc-ease\legacy_codebase\pages\error-500.php","-","True","49"
"C:\laragon\www\doc-ease\legacy_codebase\pages\extended-dragula.php","-","True","366"
"C:\laragon\www\doc-ease\legacy_codebase\pages\extended-range-slider.php","-","True","182"
"C:\laragon\www\doc-ease\legacy_codebase\pages\extended-ratings.php","-","True","175"
"C:\laragon\www\doc-ease\legacy_codebase\pages\extended-scrollbar.php","-","True","199"
"C:\laragon\www\doc-ease\legacy_codebase\pages\extended-scrollspy.php","-","True","318"
"C:\laragon\www\doc-ease\legacy_codebase\pages\form-advanced.php","-","True","755"
"C:\laragon\www\doc-ease\legacy_codebase\pages\form-editors.php","-","True","114"
"C:\laragon\www\doc-ease\legacy_codebase\pages\form-elements.php","-","True","743"
"C:\laragon\www\doc-ease\legacy_codebase\pages\form-fileuploads.php","-","True","106"
"C:\laragon\www\doc-ease\legacy_codebase\pages\form-validation.php","-","True","191"
"C:\laragon\www\doc-ease\legacy_codebase\pages\form-wizard.php","-","True","539"
"C:\laragon\www\doc-ease\legacy_codebase\pages\grade-record-seed-preview.php","-","True","465"
"C:\laragon\www\doc-ease\legacy_codebase\pages\grade-record-seed-preview-print.php","-","True","734"
"C:\laragon\www\doc-ease\legacy_codebase\pages\icons-bootstrap.php","-","True","62"
"C:\laragon\www\doc-ease\legacy_codebase\pages\icons-remixicons.php","-","True","55"
"C:\laragon\www\doc-ease\legacy_codebase\pages\import_users.php","-","False","12"
"C:\laragon\www\doc-ease\legacy_codebase\pages\layouts-compact.php","-","False","376"
