"Page","HasSession","Guards"
"pages/teacher-tos-tqs.php","True","require_active_role('teacher')"
"pages/teacher-wheel.php","True","require_active_role('teacher')"
"pages/tutorial-admin.php","True","require_role('admin')"
"pages/tutorial-enroll-student.php","True","require_role('admin')"
"pages/tutorial-program-chair.php","True","require_any_role(['program_chair', 'admin'])"
"pages/tutorial-student.php","True","require_any_role(['student', 'admin'])"
"pages/tutorial-teacher.php","True","require_any_role(['teacher', 'admin'])"
"pages/tutorial-users.php","True","require_role('admin')"
"pages/tutorials.php","True",""
"pages/ui-accordions.php","True",""
"pages/ui-alerts.php","True",""
"pages/ui-avatars.php","True",""
"pages/ui-badges.php","True",""
"pages/ui-breadcrumb.php","True",""
"pages/ui-buttons.php","True",""
"pages/ui-cards.php","True",""
"pages/ui-carousel.php","True",""
"pages/ui-collapse.php","True",""
"pages/ui-dropdowns.php","True",""
"pages/ui-embed-video.php","True",""
"pages/ui-grid.php","True",""
"pages/ui-links.php","True",""
"pages/ui-list-group.php","True",""
"pages/ui-modals.php","True",""
"pages/ui-notifications.php","True",""
"pages/ui-offcanvas.php","True",""
"pages/ui-pagination.php","True",""
"pages/ui-placeholders.php","True",""
"pages/ui-popovers.php","True",""
"pages/ui-progress.php","True",""
"pages/ui-ribbons.php","True",""
"pages/ui-spinners.php","True",""
"pages/ui-tabs.php","True",""
"pages/ui-tooltips.php","True",""
"pages/ui-typography.php","True",""
"pages/ui-utilities.php","True",""
"pages/user-dashboard.php","True","require_approved_student()"
"pages/widgets.php","True",""
"pages/api/get_monthly_uploads.php","True","require_approved_user()"
"pages/api/get_student_name.php","True","require_approved_user()"
"pages/auth/auth-login.php","True",""
"pages/auth/auth-logout.php","True",""
"pages/auth/auth-register.php","True",""
"pages/auth/auth-student-enroll.php","True",""
"pages/student/todays_act.php","True","require_approved_student()"
